Nom de l'établissement	Adresse	Site Web	Status
ESPACE BIEN ÊTRE - SPA, Sauna, Massage	6 Le Champ Fercot RUE DU 02320 Cessières-Suzy France	https://www.etangsdumoulin.fr/47-spa-massage-sauna	Traité
Rêves d'eau	13 Rue du Commerce 02160 Bourg-et-Comin France	https://www.reves-deau.fr/	Traité
Naturel Spa	7 Bis Rue des Fontaines 02120 Malzy France		
La Séduisante	02230 Fresnoy-le-Grand France	http://laseduisante-spa.com/	Traité
Spa Center Parcs Le Lac d'Ailette	1 Parc Nautique de L'Ailette 02860 Chamouille France	https://www.centerparcs.fr/fr-fr/france/fp_LA_vacances-domaine-le-lac-d-ailette/spa-deep-nature?utm_source=google&utm_medium=Maps&utm_campaign=Maps_FR_Le_Lac_d_Ailette	Traité
Spa Deep Nature - Domaine Le Lac d'Ailette	1 Parc Nautique de l'Ailette 02860 Chamouille France	https://www.deepnature.fr/dn_fr/center-parcs-domaine-du-lac-ailette	Traité
Carré Zen Spa & Massages ?	10 Rue Principale 08190 Le Thour France	https://www.carrezen-spaprivatif.fr/	Traité
EN QUÊTE DE SOI Sophrologie et massages-bien-être intuitifs Salon Lunch & Spa	14 Rue Claude Debussy 02200 Mercin-et-Vaux France	http://www.massagebienetre-soissons.fr/	Traité
un moment pour soi a la ferme du bois	1 Le Bois Bernier 59440 Saint-Hilaire-sur-Helpe France	https://www.facebook.com/pages/category/Beauty--Cosmetic---Personal-Care/Un-moment-pour-soi-a-la-ferme-du-bois-113517073756332/	Traité
Head Spa L'art du bien-être	41 Gr Grand Rue 08440 Ville-sur-Lumes France	https://www.instagram.com/head_spa_lart_du_bien_etre?igsh=bWgzb3Y2dWM3eXdx	Traité
O Tropical SPA	4 Rue Marcel Boucher 02590 Étreillers France		
Lagoona Spa	186 Rte d'Avesnes 59720 Louvroil France	http://www.lagoona-spa.com/	Traité
DBL SPA et BIEN-ÊTRE :Drainage By Lu | Spa Servian - Pezenas	Domaine la marceille basse 34290 Servian France	https://www.dblspaetbienetre.fr/	Traité
Infinity SPA	112 Rte d'Aigues-Vives 30420 Calvisson France	https://villaoccitana.com/le-spa/	Traité
Le Lagon	Rue de Nivern Bihan 22300 Lannion France	https://www.le-lagon-spa.com/	Traité
Spa L'Agapa by CODAGE	12 Rue des Bons Enfants 22700 Perros-Guirec France	https://www.lagapa.com/spa	Traité
Baby Isis Spa - Massage bébé, enfant et Prénatal	44 bis Rue de Rennes 22360 Langueux France	https://www.babyisisspa.fr/	Traité
Sérénité Basque - Spa Privatif & Soins - Gîtes	236 Ukuteko Bidea 64250 Ainhoa France	https://www.serenitebasque.com/	Traité
